                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.46741,                0.21182,                0.83623,                0.99667,                0.98601,                0.99404,                0.88281,                0.57669,                0.26557,                0.86614,              0.0002972,              0.0002972,              0.0002972
                     89,                0.46857,                0.21075,                0.83669,                0.99561,                0.98601,                0.99395,                0.88219,                0.57848,                0.26745,                0.86474,              0.0002774,              0.0002774,              0.0002774
                     90,                0.46902,                0.21009,                0.83475,                0.99695,                0.98095,                0.99395,                0.87996,                0.58093,                0.27335,                0.86574,              0.0002576,              0.0002576,              0.0002576
                     91,                0.44928,                0.18927,                 0.8141,                0.99797,                0.98072,                0.99224,                0.87934,                0.57899,                0.27808,                0.86664,              0.0002378,              0.0002378,              0.0002378
                     92,                0.44715,                0.18835,                0.81733,                0.99898,                0.98068,                0.99222,                0.87748,                0.58345,                0.27454,                0.86727,               0.000218,               0.000218,               0.000218
                     93,                0.44627,                0.18471,                0.81504,                0.99817,                0.98002,                0.99223,                0.87528,                0.58701,                0.27376,                0.86913,              0.0001982,              0.0001982,              0.0001982
                     94,                0.44542,                0.18407,                0.81248,                0.99797,                0.98085,                0.99295,                0.87582,                0.59372,                0.27139,                0.87192,              0.0001784,              0.0001784,              0.0001784
                     95,                0.44451,                 0.1824,                0.81368,                0.99685,                0.98102,                0.99216,                0.87494,                0.58965,                0.27142,                0.87035,              0.0001586,              0.0001586,              0.0001586
                     96,                0.44298,                0.18049,                0.81393,                0.99439,                0.98202,                0.99219,                0.87496,                0.58885,                0.27019,                  0.869,              0.0001388,              0.0001388,              0.0001388
                     97,                0.44159,                0.17827,                0.81519,                0.99594,                 0.9809,                0.99218,                0.87806,                 0.5805,                0.27171,                0.86711,               0.000119,               0.000119,               0.000119
                     98,                0.44128,                0.17781,                0.81375,                0.99243,                0.98501,                0.99387,                0.87889,                0.58127,                0.26778,                 0.8663,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 0.4388,                0.17739,                0.81175,                0.99395,                0.98415,                0.99387,                0.87919,                0.57801,                0.26488,                0.86539,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.43836,                0.17568,                0.81132,                0.99595,                0.98294,                0.99383,                0.87961,                0.57448,                0.26367,                0.86492,               5.96e-05,               5.96e-05,               5.96e-05
